Date,Open,High,Low,Close,Adj.close,Volume
15 Mar 2022,102.28,102.58,93.53,96.44,96.44,401690
14 Mar 2022,109.42,109.72,99.76,103.01,103.01,344184
11 Mar 2022,105.99,110.29,104.48,109.33,109.33,368194
10 Mar 2022,110.41,114.88,105.53,106.02,106.02,437924
09 Mar 2022,124.66,126.84,103.63,108.7,108.7,594773
08 Mar 2022,120.67,129.44,117.07,123.7,123.7,583106
07 Mar 2022,121.33,130.5,115.54,119.4,119.4,576022
04 Mar 2022,107.96,116.02,107.25,115.68,115.68,493875
03 Mar 2022,111.33,116.57,106.43,107.67,107.67,592031
02 Mar 2022,107.12,112.51,105.18,110.6,110.6,651853
01 Mar 2022,96.09,106.78,95.32,103.41,103.41,698814
28 Feb 2022,94.99,99.1,94.43,95.72,95.72,490796
25 Feb 2022,93.32,95.64,90.06,91.59,91.59,523793
24 Feb 2022,92.52,100.54,91.45,92.81,92.81,872244
23 Feb 2022,91.74,93.9,90.64,92.1,92.1,440574
22 Feb 2022,91.75,96,90.35,92.35,92.35,789041
18 Feb 2022,91.63,92.66,89.03,91.07,91.07,150382
17 Feb 2022,90.9,93.36,90.62,91.76,91.76,212552
16 Feb 2022,92.21,95.01,90,93.66,93.66,401453
15 Feb 2022,94.83,95.17,90.66,92.07,92.07,442641
14 Feb 2022,93.91,95.82,92.09,95.46,95.46,467071
11 Feb 2022,90,94.66,89.19,93.1,93.1,554423
10 Feb 2022,90.01,91.74,89.03,89.88,89.88,492091
09 Feb 2022,89.86,90.58,88.41,89.66,89.66,445618
08 Feb 2022,91.64,91.68,88.51,89.36,89.36,467386
07 Feb 2022,91.82,92.73,90.73,91.32,91.32,497754
04 Feb 2022,90.19,93.17,90.07,92.31,92.31,410926
03 Feb 2022,87.98,90.45,86.75,90.27,90.27,465771
02 Feb 2022,88.35,89.72,87.1,88.26,88.26,456863
01 Feb 2022,88.15,88.87,86.55,88.2,88.2,376841
31 Jan 2022,87.45,88.39,86.34,88.15,88.15,359080
28 Jan 2022,87.5,88.84,86.44,86.82,86.82,436172
27 Jan 2022,87.15,88.54,86.2,86.61,86.61,427804
26 Jan 2022,85.26,87.95,85.01,87.35,87.35,459642
25 Jan 2022,84.15,85.71,82.99,85.6,85.6,507219
24 Jan 2022,84.91,86.09,81.9,83.31,83.31,511695
21 Jan 2022,84.57,85.56,82.78,85.14,85.14,509103
20 Jan 2022,86.23,87.82,86,86.9,86.9,532202
19 Jan 2022,86.61,87.91,85.77,86.96,86.96,113153
18 Jan 2022,84.32,86.63,83.5,85.43,85.43,163643
14 Jan 2022,81.73,84.45,81.58,83.82,83.82,364442
13 Jan 2022,82.82,82.94,81.39,82.12,82.12,364769
12 Jan 2022,81.38,83.1,81.17,82.64,82.64,420619
11 Jan 2022,78.42,81.59,78.36,81.22,81.22,481815
10 Jan 2022,78.88,79.45,77.83,78.23,78.23,389956
07 Jan 2022,79.62,80.47,78.52,78.9,78.9,414434
06 Jan 2022,77.24,80.24,76.73,79.46,79.46,476665
05 Jan 2022,77.18,78.58,76.51,77.85,77.85,397898
04 Jan 2022,76.02,77.64,75.7,76.99,76.99,372848
03 Jan 2022,75.69,76.46,74.27,76.08,76.08,317628
31 Dec 2021,76.66,77.08,74.95,75.21,75.21,237118
30 Dec 2021,76.58,77.44,75.78,76.99,76.99,231163
29 Dec 2021,76.04,77.37,75.36,76.56,76.56,283557
28 Dec 2021,75.97,76.92,75.53,75.98,75.98,249728
27 Dec 2021,73.38,76.09,72.57,75.57,75.57,268490
23 Dec 2021,73.03,73.95,72.27,73.79,73.79,270223
22 Dec 2021,71.27,73.16,70.8,72.76,72.76,306709
21 Dec 2021,69.21,71.55,68.56,71.12,71.12,358779
20 Dec 2021,70.07,70.07,66.04,68.23,68.23,492217
17 Dec 2021,71.92,72.26,69.89,70.86,70.86,78125
16 Dec 2021,71.48,72.99,71.03,72.38,72.38,142541
15 Dec 2021,70.35,71.66,69.39,70.87,70.87,294337
14 Dec 2021,71.12,72.03,69.51,70.73,70.73,359454
13 Dec 2021,72.04,73,70.71,71.29,71.29,406604
10 Dec 2021,70.68,72.33,70.32,71.67,71.67,397883
09 Dec 2021,72.52,73.34,70.39,70.94,70.94,393205
08 Dec 2021,71.86,73,70.91,72.36,72.36,464846
07 Dec 2021,69.72,73.03,69.52,72.05,72.05,496528
06 Dec 2021,67.02,70.15,66.72,69.49,69.49,401060
03 Dec 2021,67.5,69.22,65.6,66.26,66.26,449974
02 Dec 2021,65.63,67.49,62.43,66.5,66.5,668293
01 Dec 2021,67.01,69.49,64.84,65.57,65.57,602447
30 Nov 2021,70.04,71.22,64.43,66.18,66.18,722475
29 Nov 2021,69.23,72.93,68.86,69.95,69.95,675090
26 Nov 2021,78.34,78.65,67.4,68.15,68.15,844630
25 Nov 2021,78.34,78.65,77.76,78.03,78.03,328848
24 Nov 2021,78.48,79.23,77.98,78.39,78.39,328848
23 Nov 2021,76.46,78.86,75.3,78.5,78.5,506987
22 Nov 2021,75.75,77.16,74.76,76.75,76.75,465768
19 Nov 2021,78.76,79.92,75.37,76.1,76.1,623448
18 Nov 2021,78.34,79.36,77.08,79.01,79.01,83984
17 Nov 2021,80.54,80.69,77.69,78.36,78.36,174471
16 Nov 2021,80.93,81.81,80.03,80.76,80.76,325668
15 Nov 2021,80.66,81.2,79.3,80.88,80.88,343484
12 Nov 2021,81.21,81.62,79.78,80.79,80.79,390304
11 Nov 2021,81.41,82.33,80.2,81.59,81.59,475436
10 Nov 2021,84.53,84.97,80.81,81.34,81.34,555215
09 Nov 2021,82.16,84.63,81.78,84.15,84.15,504832
08 Nov 2021,81.13,82.67,81.05,81.93,81.93,393953
05 Nov 2021,79.37,81.8,78.96,81.27,81.27,531054
04 Nov 2021,80.18,83.42,78.25,78.81,78.81,701119
03 Nov 2021,83.07,83.08,79.69,80.86,80.86,546577
02 Nov 2021,83.87,84.41,82.92,83.91,83.91,429608
01 Nov 2021,83.36,84.88,82.74,84.05,84.05,412309
29 Oct 2021,83.09,83.74,81.41,83.57,83.57,507309
28 Oct 2021,82.25,83.21,80.58,82.81,82.81,491585
27 Oct 2021,84.39,84.51,82.01,82.66,82.66,529952
26 Oct 2021,83.72,84.88,82.97,84.65,84.65,467716
25 Oct 2021,83.98,85.41,83.39,83.76,83.76,568725
22 Oct 2021,82.61,84.22,81.76,83.76,83.76,465355
21 Oct 2021,83.58,83.96,80.79,82.5,82.5,567503
20 Oct 2021,83.34,84.25,81.3,83.87,83.87,530693
19 Oct 2021,82.37,83.74,81.8,82.96,82.96,82607
18 Oct 2021,82.6,83.87,81.84,82.44,82.44,134098
15 Oct 2021,81.48,82.66,81.39,82.28,82.28,277953
14 Oct 2021,80.59,81.68,80.38,81.31,81.31,399813
13 Oct 2021,80.58,81.04,79.42,80.44,80.44,487220
12 Oct 2021,80.5,81.62,79.47,80.64,80.64,598181
11 Oct 2021,79.59,82.18,79.55,80.52,80.52,653756
08 Oct 2021,78.86,80.11,78.63,79.35,79.35,662010
07 Oct 2021,77,78.89,74.96,78.3,78.3,545008
06 Oct 2021,79.04,79.78,76.83,77.43,77.43,459055
05 Oct 2021,77.58,79.48,77.47,78.93,78.93,449617
04 Oct 2021,75.9,78.38,75.32,77.62,77.62,458006
01 Oct 2021,75.12,75.99,74.23,75.88,75.88,388996
30 Sept 2021,74.78,76.07,73.14,75.03,75.03,583189
29 Sept 2021,74.38,75.79,73.74,74.83,74.83,424193
28 Sept 2021,75.43,76.67,74.24,75.29,75.29,476143
27 Sept 2021,74.19,75.75,74.16,75.45,75.45,417829
24 Sept 2021,73.24,74.27,72.81,73.98,73.98,350382
23 Sept 2021,71.97,73.5,71.61,73.3,73.3,403405
22 Sept 2021,70.85,72.3,70.64,72.23,72.23,381061
21 Sept 2021,70.59,71.63,69.67,70.56,70.56,393403
20 Sept 2021,71.92,72.08,69.86,70.29,70.29,75837
17 Sept 2021,72.62,72.72,71.21,71.97,71.97,119933
16 Sept 2021,72.65,72.99,71.53,72.61,72.61,298412
15 Sept 2021,70.76,73.14,70.65,72.61,72.61,418665
14 Sept 2021,70.64,71.22,69.98,70.46,70.46,414231
13 Sept 2021,69.74,70.97,69.51,70.45,70.45,390939
10 Sept 2021,67.97,69.96,67.68,69.72,69.72,411079
09 Sept 2021,69.36,69.89,67.56,68.14,68.14,556451
08 Sept 2021,68.37,69.75,68.31,69.3,69.3,389325
07 Sept 2021,69.11,69.48,67.64,68.35,68.35,481704
03 Sept 2021,69.76,70.53,69.05,69.29,69.29,313086
02 Sept 2021,68.29,70.61,67.84,69.99,69.99,403314
01 Sept 2021,68.55,69.24,67.12,68.59,68.59,399497
31 Aug 2021,69.18,69.34,68.16,68.5,68.5,325853
30 Aug 2021,69.3,69.64,67.67,69.21,69.21,360797
27 Aug 2021,67.75,69.05,67.52,68.74,68.74,326056
26 Aug 2021,68,68.31,67.02,67.42,67.42,344286
25 Aug 2021,67.63,68.54,66.92,68.36,68.36,353742
24 Aug 2021,65.54,67.8,65.41,67.54,67.54,335888
23 Aug 2021,61.96,66,61.74,65.64,65.64,397290
20 Aug 2021,64.05,64.1,62.11,62.32,62.32,365009
19 Aug 2021,64.58,64.76,62.63,63.69,63.69,88237
18 Aug 2021,66.58,67.48,64.34,65.46,65.46,121197
17 Aug 2021,67.43,67.72,66.33,66.59,66.59,235303
16 Aug 2021,68.13,68.14,65.73,67.29,67.29,334844
13 Aug 2021,68.91,69.22,67.77,68.44,68.44,272033
12 Aug 2021,69.36,69.62,68.46,69.09,69.09,352465
11 Aug 2021,68.51,69.45,66.67,69.25,69.25,513292
10 Aug 2021,66.85,68.9,66.56,68.29,68.29,452126
09 Aug 2021,67.88,67.9,65.15,66.48,66.48,598381
06 Aug 2021,69.14,70.18,67.8,68.28,68.28,537136
05 Aug 2021,68.06,69.35,67.61,69.09,69.09,416331
04 Aug 2021,70.32,70.81,67.85,68.15,68.15,582924
03 Aug 2021,71.52,71.96,69.19,70.56,70.56,509938
02 Aug 2021,73.91,73.95,70.55,71.26,71.26,448200
30 Jul 2021,73.41,74.23,72.93,73.95,73.95,303700
29 Jul 2021,72.4,73.68,72.26,73.62,73.62,294462
28 Jul 2021,71.9,72.6,71.7,72.39,72.39,318911
27 Jul 2021,72.22,72.33,71.08,71.65,71.65,333123
26 Jul 2021,72.18,72.43,70.56,71.91,71.91,395743
23 Jul 2021,71.71,72.21,71.39,72.07,72.07,274778
22 Jul 2021,70.22,72.03,69.86,71.91,71.91,435181
21 Jul 2021,66.45,70.51,66.44,70.3,70.3,503030
20 Jul 2021,66.6,67.65,65.21,67.42,67.42,561629
19 Jul 2021,71.49,71.67,65.63,66.42,66.42,82565
16 Jul 2021,71.48,72.3,70.41,71.81,71.81,133926
15 Jul 2021,72.96,72.96,71.4,71.65,71.65,368679
14 Jul 2021,75.17,75.44,72.21,73.13,73.13,528360
13 Jul 2021,74.18,75.52,73.68,75.25,75.25,444078
12 Jul 2021,74.74,74.93,73.16,74.1,74.1,397931
09 Jul 2021,73.26,74.76,72.72,74.56,74.56,422154
08 Jul 2021,72.17,73.26,70.76,72.94,72.94,529690
07 Jul 2021,73.85,74.86,71.07,72.2,72.2,607971
06 Jul 2021,75.35,76.98,72.94,73.37,73.37,714044
02 Jul 2021,75.02,75.62,74.41,75.16,75.16,377531
01 Jul 2021,73.5,76.22,73.39,75.23,75.23,615678
30 Jun 2021,73.47,74.14,72.82,73.47,73.47,383626
29 Jun 2021,72.78,73.81,71.97,72.98,72.98,321448
28 Jun 2021,73.99,74.45,72.62,72.91,72.91,354701
25 Jun 2021,73.32,74.18,72.85,74.05,74.05,364721
24 Jun 2021,73.28,73.61,72.32,73.3,73.3,334833
23 Jun 2021,72.91,74.25,72.82,73.08,73.08,429207
22 Jun 2021,73.41,73.95,72.94,73.06,73.06,498555
21 Jun 2021,71.52,73.96,71.15,73.66,73.66,123662
18 Jun 2021,71.1,72.17,70.16,71.64,71.64,139584
17 Jun 2021,71.65,72.3,69.77,71.04,71.04,373780
16 Jun 2021,72.45,72.99,71.61,72.15,72.15,426775
15 Jun 2021,71.16,72.49,70.81,72.12,72.12,336035
14 Jun 2021,70.65,71.78,70.65,70.88,70.88,319639
11 Jun 2021,70.1,71.24,69.68,70.91,70.91,563575
10 Jun 2021,69.76,70.65,68.68,70.29,70.29,492464
09 Jun 2021,70.01,70.62,69.46,69.96,69.96,410820
08 Jun 2021,69.29,70.27,68.47,70.05,70.05,441302
07 Jun 2021,69.52,70,68.93,69.23,69.23,365621
04 Jun 2021,68.91,69.76,68.33,69.62,69.62,326250
03 Jun 2021,68.76,69.4,68.19,68.81,68.81,351367
02 Jun 2021,67.99,69,67.78,68.83,68.83,332995
01 Jun 2021,66.68,68.87,66.41,67.72,67.72,570985
28 May 2021,66.95,67.52,66.17,66.32,66.32,390461
27 May 2021,66.16,66.92,65.47,66.85,66.85,337542
26 May 2021,66.04,66.43,65.25,66.21,66.21,376207
25 May 2021,66.02,66.51,65.41,66.07,66.07,497394
24 May 2021,63.87,66.14,63.63,66.05,66.05,466647
21 May 2021,61.89,64.07,61.56,63.58,63.58,530831
20 May 2021,63.39,63.96,61.89,62.05,62.05,524168
19 May 2021,65.28,65.35,61.95,63.36,63.36,101902
18 May 2021,66.33,67.01,64.11,65.49,65.49,167348
17 May 2021,65.5,66.43,64.83,66.27,66.27,268476
14 May 2021,63.83,65.62,63.33,65.37,65.37,383749
13 May 2021,65.75,65.81,63.09,63.82,63.82,547691
12 May 2021,65.46,66.63,64.97,66.08,66.08,508519
11 May 2021,64.9,65.5,63.68,65.28,65.28,514949
10 May 2021,65.57,65.75,63.95,64.92,64.92,448337
07 May 2021,64.9,65.24,63.9,64.9,64.9,431417
06 May 2021,65.27,65.98,64.5,64.71,64.71,389214
05 May 2021,66.45,66.76,64.92,65.63,65.63,460066
04 May 2021,64.53,66.19,64.29,65.69,65.69,370208
03 May 2021,63.64,64.68,62.91,64.49,64.49,285969
30 Apr 2021,64.88,64.95,63.08,63.58,63.58,400515
29 Apr 2021,63.7,65.47,63.65,65.01,65.01,384489
28 Apr 2021,63.04,64.53,62.67,63.86,63.86,387683
27 Apr 2021,61.97,63.3,61.91,62.94,62.94,361536
26 Apr 2021,62.06,62.31,60.66,61.91,61.91,366865
23 Apr 2021,61.65,62.43,61.25,62.14,62.14,345407
22 Apr 2021,61.11,61.87,60.61,61.43,61.43,344700
21 Apr 2021,62.39,62.56,60.86,61.35,61.35,431486
20 Apr 2021,63.47,64.25,61.5,62.44,62.44,476046
19 Apr 2021,62.98,63.63,62.63,63.38,63.38,74384
16 Apr 2021,63.32,63.88,62.83,63.13,63.13,87795
15 Apr 2021,62.83,63.57,62.53,63.46,63.46,243370
14 Apr 2021,60.44,63.44,60.38,63.15,63.15,419813
13 Apr 2021,59.64,60.59,59.64,60.18,60.18,349733
12 Apr 2021,59.35,60.77,58.73,59.7,59.7,410218
09 Apr 2021,59.76,59.95,59.1,59.32,59.32,351436
08 Apr 2021,59.52,59.93,58.82,59.6,59.6,419913
07 Apr 2021,59.26,60.04,58.12,59.77,59.77,475537
06 Apr 2021,58.8,60.9,58.62,59.33,59.33,457348
05 Apr 2021,61.5,61.5,57.63,58.65,58.65,438864
01 Apr 2021,59.49,61.75,58.86,61.45,61.45,605567
31 Mar 2021,60.45,61.17,58.85,59.16,59.16,414162
30 Mar 2021,61.96,62.27,59.94,60.55,60.55,388188
29 Mar 2021,60.93,61.77,59.41,61.56,61.56,449360
26 Mar 2021,58.48,61.36,58.32,60.97,60.97,471996
25 Mar 2021,60.8,60.86,57.44,58.56,58.56,580105
24 Mar 2021,57.4,61.34,57.29,61.18,61.18,566291
23 Mar 2021,61.28,61.35,57.25,57.76,57.76,712317
22 Mar 2021,61.55,61.9,60.39,61.55,61.55,404370
19 Mar 2021,59.56,61.72,58.94,61.42,61.42,84171
18 Mar 2021,64.42,64.82,58.2,60,60,143597
17 Mar 2021,64.75,65.34,63.6,64.6,64.6,254724
16 Mar 2021,65.33,65.43,63.8,64.8,64.8,317537
15 Mar 2021,65.56,66.4,64.13,65.39,65.39,378009
12 Mar 2021,65.96,66.24,65.41,65.61,65.61,321714
11 Mar 2021,64.7,66.21,64.54,66.02,66.02,441063
10 Mar 2021,63.84,64.96,63.13,64.44,64.44,498488
09 Mar 2021,64.73,65.98,63.63,64.01,64.01,554564
08 Mar 2021,66.68,67.98,64.57,65.05,65.05,533376
05 Mar 2021,64.16,66.42,63.82,66.09,66.09,573168
04 Mar 2021,61.08,64.86,60.52,63.83,63.83,694628
03 Mar 2021,59.55,61.99,59.24,61.28,61.28,465311
02 Mar 2021,60.23,61.21,59.38,59.75,59.75,464133
01 Mar 2021,61.95,62.92,59.96,60.64,60.64,456679
26 Feb 2021,63.46,63.57,61.34,61.5,61.5,472723
25 Feb 2021,63.39,63.81,62.65,63.53,63.53,510357
24 Feb 2021,61.29,63.51,60.97,63.22,63.22,489933
23 Feb 2021,62.16,63,60.67,61.67,61.67,570677
22 Feb 2021,58.88,61.84,58.82,61.49,61.49,505773
19 Feb 2021,60.2,60.29,58.59,59.24,59.24,102427
18 Feb 2021,61.68,62.26,59.79,60.52,60.52,132035
17 Feb 2021,60.24,61.73,59.43,61.14,61.14,335419
16 Feb 2021,59.98,60.95,59.33,60.05,60.05,602332
12 Feb 2021,57.94,59.82,57.41,59.47,59.47,480822
11 Feb 2021,58.4,58.71,57.84,58.24,58.24,380445
10 Feb 2021,58.45,58.91,58.08,58.68,58.68,457535
09 Feb 2021,58.11,58.62,57.27,58.36,58.36,514698
08 Feb 2021,57.06,58.14,57,57.97,57.97,399724
05 Feb 2021,56.46,57.29,56.43,56.85,56.85,400833
04 Feb 2021,55.96,56.58,55.3,56.23,56.23,381404
03 Feb 2021,55.05,56.33,54.81,55.69,55.69,448693
02 Feb 2021,53.48,55.26,53.45,54.76,54.76,463718
01 Feb 2021,51.99,53.74,51.64,53.55,53.55,416067
29 Jan 2021,52.15,53.25,51.93,52.2,52.2,410914
28 Jan 2021,52.65,53.58,52.04,52.34,52.34,411406
27 Jan 2021,52.76,53.3,51.85,52.85,52.85,442376
26 Jan 2021,52.91,53.25,52.29,52.61,52.61,314538
25 Jan 2021,52.17,52.95,51.82,52.77,52.77,349076
22 Jan 2021,53.1,53.16,51.44,52.27,52.27,437484
21 Jan 2021,52.93,53.41,52.75,53.13,53.13,352397
20 Jan 2021,53.13,53.79,53.05,53.24,53.24,400301
19 Jan 2021,52,53.13,51.76,52.98,52.98,125964
15 Jan 2021,53.8,53.83,51.83,52.36,52.36,165668
14 Jan 2021,52.84,53.75,52.24,53.57,53.57,390087
13 Jan 2021,53.31,53.93,52.58,52.91,52.91,429898
12 Jan 2021,52.18,53.45,52.07,53.21,53.21,400200
11 Jan 2021,52.58,52.7,51.5,52.25,52.25,394822
08 Jan 2021,50.93,52.75,50.81,52.24,52.24,499416
07 Jan 2021,50.53,51.28,50.39,50.83,50.83,369292
06 Jan 2021,49.82,50.94,49.48,50.63,50.63,509365
05 Jan 2021,47.38,50.2,47.24,49.93,49.93,643191
04 Jan 2021,48.4,49.83,47.18,47.62,47.62,528525
31 Dec 2020,48.35,48.58,47.77,48.52,48.52,181894
30 Dec 2020,48.13,48.66,47.61,48.4,48.4,266957
29 Dec 2020,47.72,48.35,47.68,48,48,213778
28 Dec 2020,48.23,48.96,47.5,47.62,47.62,238462
24 Dec 2020,48.09,48.62,47.56,48.23,48.23,167390
23 Dec 2020,46.79,48.5,46.16,48.12,48.12,344306
22 Dec 2020,47.93,47.96,46.6,47.02,47.02,295737
21 Dec 2020,48.54,48.61,46.18,47.74,47.74,478098
18 Dec 2020,48.43,49.28,48.1,49.1,49.1,83711
17 Dec 2020,47.85,48.59,47.81,48.36,48.36,96536
16 Dec 2020,47.6,47.94,47.17,47.82,47.82,275331
15 Dec 2020,46.99,47.73,46.54,47.62,47.62,311169
14 Dec 2020,46.73,47.44,45.69,46.99,46.99,403543
11 Dec 2020,46.97,47.29,46.34,46.57,46.57,367305
10 Dec 2020,45.69,47.74,45.52,46.78,46.78,447529
09 Dec 2020,45.6,46.24,44.95,45.52,45.52,434976
08 Dec 2020,45.66,45.93,45.14,45.6,45.6,332641
07 Dec 2020,46.15,46.54,45.36,45.76,45.76,348871
04 Dec 2020,45.64,46.68,45.61,46.26,46.26,335453
03 Dec 2020,44.99,45.84,44.66,45.64,45.64,350768
02 Dec 2020,44.38,45.92,43.92,45.28,45.28,368854
01 Dec 2020,45.08,45.7,44.12,44.55,44.55,314919
30 Nov 2020,45.34,45.8,44.42,45.34,45.34,370755
27 Nov 2020,45.9,46.09,44.55,45.53,45.53,365128
25 Nov 2020,44.82,46.26,44.73,45.71,45.71,417182
24 Nov 2020,42.84,45.2,42.82,44.91,44.91,418527
23 Nov 2020,42.46,43.36,42.29,43.06,43.06,300717
20 Nov 2020,41.7,42.32,41.51,42.15,42.15,276340
19 Nov 2020,41.61,41.98,41.08,41.74,41.74,88144
18 Nov 2020,41.35,42.46,41.08,41.82,41.82,107013
17 Nov 2020,41.44,41.69,40.57,41.43,41.43,243677
16 Nov 2020,40.17,42.09,40.15,41.34,41.34,378785
13 Nov 2020,40.94,40.94,40.06,40.13,40.13,338187
12 Nov 2020,41.47,42.19,40.87,41.12,41.12,401031
11 Nov 2020,41.79,43.06,41.32,41.45,41.45,443772
10 Nov 2020,39.91,41.84,39.41,41.36,41.36,457045
09 Nov 2020,37.34,41.33,37.16,40.29,40.29,622921
06 Nov 2020,38.54,38.61,37.06,37.14,37.14,411026
05 Nov 2020,39.17,39.35,38.27,38.79,38.79,298366
04 Nov 2020,38.15,39.25,37.26,39.15,39.15,437000
03 Nov 2020,37.03,38.32,36.57,37.66,37.66,410611
02 Nov 2020,35.24,37.15,33.64,36.81,36.81,489204
30 Oct 2020,36.07,36.6,35.21,35.79,35.79,388971
29 Oct 2020,37.39,37.76,34.92,36.17,36.17,568816
28 Oct 2020,38.97,39.01,36.97,37.39,37.39,489954
27 Oct 2020,38.59,39.83,38.51,39.57,39.57,339535
26 Oct 2020,39.69,39.74,38.28,38.56,38.56,360184
23 Oct 2020,40.61,40.92,39.57,39.85,39.85,268931
22 Oct 2020,40.04,41.02,39.71,40.64,40.64,307494
21 Oct 2020,41.22,41.59,39.78,40.03,40.03,366899
20 Oct 2020,40.65,41.7,40.25,41.46,41.46,360574
19 Oct 2020,40.69,41.22,40.54,40.83,40.83,75335
16 Oct 2020,40.88,41.05,40.08,40.88,40.88,96488
15 Oct 2020,41.13,41.29,39.22,40.96,40.96,248251
14 Oct 2020,40.19,41.16,39.82,41.04,41.04,328295
13 Oct 2020,39.53,40.53,39.35,40.2,40.2,375470
12 Oct 2020,40.4,40.45,39.04,39.43,39.43,322035
09 Oct 2020,41.31,41.47,40.38,40.6,40.6,331703
08 Oct 2020,39.99,41.33,39.76,41.19,41.19,409787
07 Oct 2020,39.83,40.35,39.28,39.95,39.95,433065
06 Oct 2020,39.35,40.86,39.1,40.67,40.67,400531
05 Oct 2020,37,39.72,37,39.22,39.22,378579
02 Oct 2020,38.6,38.65,36.63,37.05,37.05,391428
01 Oct 2020,39.9,40.47,37.61,38.72,38.72,443442
30 Sept 2020,39.16,40.37,38.68,40.22,40.22,340294
29 Sept 2020,40.58,40.7,38.41,39.29,39.29,379599
28 Sept 2020,40.07,40.8,39.78,40.6,40.6,226425
25 Sept 2020,40.15,40.64,39.71,40.25,40.25,229025
24 Sept 2020,39.6,40.37,39.12,40.31,40.31,269992
23 Sept 2020,39.76,40.75,39.26,39.93,39.93,318754
22 Sept 2020,39.63,40.02,39,39.6,39.6,287807
21 Sept 2020,40.98,41.27,38.66,39.31,39.31,66195
18 Sept 2020,40.97,41.49,40.3,41.11,41.11,85906
17 Sept 2020,40.19,41.22,39.42,40.97,40.97,280669
16 Sept 2020,38.35,40.34,38.35,40.16,40.16,367612
15 Sept 2020,37.28,38.57,37.06,38.28,38.28,348861
14 Sept 2020,37.32,37.68,36.82,37.26,37.26,347563
11 Sept 2020,37.01,37.82,36.67,37.33,37.33,363787
10 Sept 2020,37.8,38.18,36.93,37.3,37.3,367555
09 Sept 2020,36.79,38.45,36.16,38.05,38.05,455356
08 Sept 2020,39.48,39.59,36.13,36.76,36.76,720975
04 Sept 2020,41.25,41.87,39.35,39.77,39.77,444184
03 Sept 2020,41.63,41.79,40.22,41.37,41.37,417634
02 Sept 2020,43.02,43.21,41.23,41.51,41.51,421771
01 Sept 2020,42.83,43.43,42.72,42.76,42.76,285146
31 Aug 2020,42.91,43.57,42.56,42.61,42.61,236877
28 Aug 2020,42.98,43.42,42.69,42.97,42.97,272800
27 Aug 2020,43.45,43.5,42.36,43.04,43.04,320968
26 Aug 2020,43.39,43.78,43,43.39,43.39,262243
25 Aug 2020,42.36,43.57,42.31,43.35,43.35,330800
24 Aug 2020,42.48,42.89,42.23,42.62,42.62,294731
21 Aug 2020,42.75,42.96,41.46,42.34,42.34,345368
20 Aug 2020,42.74,42.79,41.5,42.58,42.58,377070
19 Aug 2020,42.6,43.03,42.36,42.93,42.93,81299
18 Aug 2020,42.79,42.99,42.11,42.89,42.89,111628
17 Aug 2020,42.24,42.97,41.8,42.89,42.89,208429
14 Aug 2020,42.33,42.57,41.62,42.01,42.01,310866
13 Aug 2020,42.57,42.84,42.09,42.24,42.24,329507
12 Aug 2020,41.62,42.9,41.53,42.67,42.67,397831
11 Aug 2020,41.98,42.94,41.48,41.61,41.61,432843
10 Aug 2020,41.5,42.33,41.17,41.94,41.94,367796
07 Aug 2020,41.97,42.22,41.06,41.22,41.22,398997
06 Aug 2020,42.19,42.65,41.61,41.95,41.95,359610
